"Project Identifier","Group","Identifier","Title","PI","Requester","Lead Analyst","Analyst","Status","Assistance Type","Expertise","Submission Date","COVID-19 Related"
"CCBR-1225","CCBR","1225","Cdk2 inhibition in cycling G1 and S phase cells","Jadranka Loncarek","Catherine Sullenberger","Philip Homan","--","Completed","Data Analysis","Data Mining/Management/Integration","Oct 17, 2022","No"
"CCBR-1224","CCBR","1224","Tumor-derived GCs regulate Treg function and immunosuppression in tumor","Jonathan Ashwell","Shizuka Otsuka","Thomas Meyer","Edmund Cauley","Completed","Data Analysis","Bulk RNA-seq;miRNA-Seq","Oct 13, 2022","No"
"CCBR-1223","CCBR","1223","Effects of ECM on Tumor Spheroid Gene Expression","Matthew Wolf","Michael Buckenmeyer","Thomas Meyer","--","Submitted","Data Analysis;Development;Training","Bulk RNA-seq","Oct 12, 2022","No"
"CCBR-1222","CCBR","1222","Project Archives","Samantha Chill","Samantha Chill","Samantha Chill","Vishal Koparde","In Progress","Other","Other","Oct 12, 2022","No"
"CCBR-1220","CCBR","1220","Single cell RNA-Seq (scRNASeq) and single cell ATAC-Seq (scATACSeq) of KPC and KP16 tumors treated with the novel innate checkpoint modulator NCGC72","Udo Rudloff","Udo Rudloff","Nathan Wong","Vishal Koparde","Completed","Data Analysis","Single-cell Seq (RNA/ATAC/etc Seq)","Sep 28, 2022","No"
"CCBR-1219","CCBR","1219","Viral IsoCirc","Joseph Ziegelbauer","Sarah Dremel","Vishal Koparde","--","Completed","Data Analysis","Long-read technologies","Sep 21, 2022","No"
"CCBR-1218","CCBR","1218","Rab25 KO","Roberto Weigert","Roberto Weigert","Philip Homan","--","Completed","Data Analysis","Bulk RNA-seq","Sep 15, 2022","No"
"CCBR-1217","CCBR","1217","Smyd3 as an immumonodulator in HPV-negative head and neck cancer","Vassiliki Saloura","Vassiliki Saloura","Abdalla Abdelmaksoud","--","Completed","Other","Other","Sep 06, 2022","No"
"CCBR-1216","CCBR","1216","SMYD3 as an immumonodulator in HPV-negative head and neck cancer","Vassiliki Saloura","Vassiliki Saloura","Samantha Chill","Vishal Koparde","Completed","Data Analysis","Other","Sep 06, 2022","No"
"CCBR-1215","CCBR","1215","Transcriptomic changes associated with macrophage reprogramming using RAW G9 and LC3-GFP reporter cell lines","Udo Rudloff","Udo Rudloff","Alexei Lobanov","--","Completed","Data Analysis","Bulk RNA-seq","Sep 04, 2022","No"
"CCBR-1214","CCBR","1214","Analysis of aberrant chromatin rearrangements in breast cancer","Victor Zhurkin","Victor Zhurkin","Samantha Chill","Wilfried Guiblet","Completed","Data Analysis","Other","Sep 02, 2022","No"
"CCBR-1213","CCBR","1213","WES of cell free DNA from breast cancer patients with brain metastases","Patricia Steeg","Wei Zhang","Darryl Nousome","--","Completed","Data Analysis","Whole Exome Sequencing","Aug 31, 2022","No"
"CCBR-1212","CCBR","1212","scRNAseq project to dissect the therapeutic sensitivity of M1 and M3 melanomas to the combined treatment with TheraVac and cGAMP","Daniel Mcvicar","De Yang","Thomas Meyer","--","Completed","Data Analysis","Single-cell Seq (RNA/ATAC/etc Seq)","Aug 25, 2022","No"
"CCBR-1211","CCBR","1211","WES - murine tumor cell lines","James Hodge","Sofia Gameiro","Darryl Nousome","--","Completed","Data Analysis","Whole Exome Sequencing","Aug 25, 2022","No"
"CCBR-1210","CCBR","1210","The role of TNF-receptor 1 (TNFR1) on hematopoietic cells in pancreatic cancer.","Jonathan Ashwell","Muhammad Alam","Nathan Wong","--","Completed","Data Analysis","Single-cell Seq (RNA/ATAC/etc Seq)","Aug 23, 2022","No"
"CCBR-1209","CCBR","1209","Compare gene expression of mouse stromal cells from WT and TEM8 KO mice","Bradley St Croix","Liping Yang","Thomas Meyer","Alexei Lobanov","Completed","Data Analysis","Single-cell Seq (RNA/ATAC/etc Seq)","Aug 18, 2022","No"
"CCBR-1208","CCBR","1208","RNA-Seq analysis of Paired African American Prostate Cancer Cell Lines","William Figg","Kristi Lee","Philip Homan","--","Primary Analysis Completed","Data Analysis","Bulk RNA-seq","Aug 12, 2022","No"
"CCBR-1207","CCBR","1207","GeneWiz WES analysis","William Linehan","Christopher Ricketts","Darryl Nousome","--","Completed","Data Analysis","Whole Exome Sequencing","Aug 04, 2022","No"
"CCBR-1206","CCBR","1206","Virtual gene knockout by Machine Learning","Giovanna Tosato","Hidetaka Ohnuki","George Zaki","Vishal Koparde","Re Assigned","Other","Other","Aug 04, 2022","No"
"CCBR-1188","CCBR","1188","Thrombospondin-1 is a CD47-dependent and CD47-independent regulator of   MYCN mRNA expression and splicing in Jurkat T cells","David Roberts","Sukhbir Kaur","Richard Finney","Thomas Meyer","Completed","Data Analysis","Bulk RNA-seq","Aug 01, 2022","No"
"CCBR-1205","CCBR","1205","Validation of potential KSHV integration in the host chromosomes based on nuclear DNA PacBio sequencing (07/22/2022)","Zhi ming Zheng","Shivalee Duduskar","Alexei Lobanov","--","Completed","Data Analysis","Other","Jul 29, 2022","No"
"CCBR-1199","CCBR","1199","surfaceome interrogation of pancreatic neuroendocrine tumors (PNETs)","Samira Sadowski","James Madigan","Philip Homan","--","Completed","Experimental Design","Data Mining/Management/Integration","Jul 08, 2022","No"
"CCBR-1203","CCBR","1203","Single cell analysis of rare sinonasal tumors","Nyall London","Nyall London","Nathan Wong","Jing Bian","Primary Analysis Completed","Data Analysis","Single-cell Seq (RNA/ATAC/etc Seq)","Jun 30, 2022","No"
"CCBR-1202","CCBR","1202","Genomic architecture","Kathrin Muegge","Kathrin Muegge","Richard Finney","--","In Progress","Data Analysis","Other","Jun 28, 2022","No"
"CCBR-1201","CCBR","1201","Synergistic effect of HSP90 and PI3K inhibitors in ACC","Naris Nilubol","Prachi Mishra","--","--","Cancelled","Data Analysis","Bulk RNA-seq","Jun 16, 2022","No"
"CCBR-1200","CCBR","1200","mim-tRNAseq","Chih-chien Wu","Chih-chien Wu","Vishal Koparde","Wilfried Guiblet; Samantha Chill; Kelly Sovacool","Completed","Data Analysis","Other","Jun 09, 2022","No"
"CCBR-1198","CCBR","1198","Synergistic effect of HSP90 and PI3K inhibitors in ACC","Naris Nilubol","Prachi Mishra","Philip Homan","--","Completed","Data Analysis","Bulk RNA-seq","Jun 02, 2022","No"
"CCBR-1197","CCBR","1197","MicroRNA profiling of urine exosomes from VHL kidney cancer patients","Maria Merino-neumann","Beatriz Walter Rodriguez","Alexei Lobanov","--","Completed","Data Analysis","miRNA-Seq","May 20, 2022","No"
"CCBR-1196","CCBR","1196","The role of TFAP4 in WNT signaling","Andres Lebensohn","Myungjoo Shin","--","--","Cancelled","Data Analysis","ChIP-Seq","May 18, 2022","No"
"CCBR-1195","CCBR","1195","Alternative splicing and polyadenylation analysis of neuronal mRNA-Seq samples","Thomas Gonatopoulos Pournatzis","Thomas Gonatopoulos Pournatzis","Samantha Chill","Philip Homan; Vishal Koparde; Wilfried Guiblet","Completed","Data Analysis","Bulk RNA-seq;Other","Apr 26, 2022","No"
"CCBR-1194","CCBR","1194","MHC-bound peptides for CD8 T-cell positive selection","Yousuke Takahama","Mami Lennikov","Alexei Lobanov","--","Completed","Data Analysis","Proteomics;Data Mining/Management/Integration;Other","Apr 25, 2022","No"
"CCBR-1193","CCBR","1193","Phosphoproteomic analysis of M2 macrophages","Udo Rudloff","Udo Rudloff","Alexei Lobanov","--","Completed","Data Analysis","Proteomics","Apr 25, 2022","No"
"CCBR-1192","CCBR","1192","Develop a data analysis pipeline for CRISPR/Cas9 screening","Chun zhang Yang","Chun zhang Yang","Nathan Wong","Samantha Chill","Completed","Experimental Design","Other","Apr 12, 2022","No"
"CCBR-1190","CCBR","1190","tumor microenvironment change with anti-YAP pathway and anti-PD-1 in animal with cholangiocarcinoma","Changqing Xie","Changqing Xie","Jing Bian","--","Completed","Data Analysis","Single-cell Seq (RNA/ATAC/etc Seq)","Apr 07, 2022","No"
"CCBR-1189","CCBR","1189","IVS single cell/VDJ seq project","Steven Rosenberg","Sanghyun Kim","Jing Bian","Alexei Lobanov","Completed","Data Analysis","Single-cell Seq (RNA/ATAC/etc Seq)","Apr 07, 2022","No"
"CCBR-1187","CCBR","1187","ATAC and Chipseq of D1 cell line expressing mutant IL7R and TLX3","Scott Durum","Gisele Rodrigues","Vishal Koparde","Samantha Chill; Kelly Sovacool","Primary Analysis Completed","Data Analysis","ATAC-Seq;ChIP-Seq;Other","Apr 06, 2022","No"
"CCBR-1186","CCBR","1186","Transcriptomics Pilot","Jeffrey Lifson","Jeffrey Lifson","--","--","Cancelled","Data Analysis;Experimental Design","ATAC-Seq;Bulk RNA-seq;Single-cell Seq (RNA/ATAC/etc Seq);Data Mining/Management/Integration","Mar 28, 2022","No"
"CCBR-1185","CCBR","1185","Identifying ERV family and loci in mouse lung cancer model","Chen Zhao","Chen Zhao","Abdalla Abdelmaksoud","--","Completed","Data Analysis","Bulk RNA-seq;Other","Mar 23, 2022","No"
"CCBR-1184","CCBR","1184","TCR Expression of thymocytes transduced with mutIL7R.P7 and Rasgrp1","Scott Durum","Tu chun Hsu","Nathan Wong","--","Completed","Data Analysis","Single-cell Seq (RNA/ATAC/etc Seq)","Mar 23, 2022","No"
"CCBR-1183","CCBR","1183","Cancer-associated variant call from WES data","Chun zhang Yang","Chun zhang Yang","Darryl Nousome","--","Completed","Data Analysis","Whole Exome Sequencing","Mar 17, 2022","No"
"CCBR-1182","CCBR","1182","Cetuxumab Experiment","Jonathan Hernandez","Amber Sarvestani","Thomas Meyer","--","Completed","Data Analysis","Bulk RNA-seq","Mar 14, 2022","No"
"CCBR-1178","CCBR","1178","Exsporosis Proteomic Analysis","Li Yang","Justin Gray","Alexei Lobanov","--","Completed","Data Analysis","Proteomics","Mar 07, 2022","No"
"CCBR-1147","CCBR","1147","Par-CLIP and Ribosome Analysis","Daniel Larson","Gloria Garcia","Philip Homan","--","Completed","Data Analysis","Other","Mar 07, 2022","No"
"CCBR-1181","CCBR","1181","Immune and chromosome accessibility landscape in tumor and normal breast tissues from women of African and European ancestry","Stefan Ambs","Alexandra Harris","Vishal Koparde","--","Completed","Data Analysis","ATAC-Seq","Feb 25, 2022","No"
"CCBR-1180","CCBR","1180","Effect of Slurp1 on tumor dormancy","Li Yang","Abdul Ahad","--","--","Cancelled","Data Analysis","Bulk RNA-seq","Feb 24, 2022","No"
"CCBR-1179","CCBR","1179","Smyd3 as an immumonodulator in HPV-negative head and neck cancer","Vassiliki Saloura","Vassiliki Saloura","Alexei Lobanov","--","Completed","Data Analysis","Bulk RNA-seq","Feb 24, 2022","No"
"CCBR-1177","CCBR","1177","Smyd3 as an immumonodulator in HPV-negative head and neck cancer","Vassiliki Saloura","Vassiliki Saloura","Alexei Lobanov","--","Completed","Data Analysis","Bulk RNA-seq","Feb 21, 2022","No"
"CCBR-1176","CCBR","1176","SMYD3 as an oncogenic driver in HPV-negative HNSCC","Vassiliki Saloura","Vassiliki Saloura","Samantha Chill","--","Completed","Data Analysis","Other","Feb 07, 2022","No"
"CCBR-1175","CCBR","1175","Validating mouse and rat antibodies for use with woodchuck PMBCs","Bradford Wood","Robert Morhard","--","--","Cancelled","Data Analysis","Bulk RNA-seq","Jan 24, 2022","No"
"CCBR-1174","CCBR","1174","THP1 p13","Genoveffa Franchini","Ramona Moles","Katherine Goldfarbmuren","Nathan Wong","Primary Analysis Completed","Data Analysis","Bulk RNA-seq","Jan 21, 2022","No"
"CCBR-1173","CCBR","1173","Characterization of  NOVEL ENDOTHELIAL CELL POPULATION","Giovanna Tosato","Giovanna Tosato","Abdalla Abdelmaksoud","--","Completed","Data Analysis","Single-cell Seq (RNA/ATAC/etc Seq)","Jan 21, 2022","No"
"CCBR-1171","CCBR","1171","CAR scRNAseq","Christopher Kanakry","Christopher Kanakry","Jing Bian","--","Completed","Data Analysis","Single-cell Seq (RNA/ATAC/etc Seq)","Jan 20, 2022","No"
"CCBR-1172","CCBR","1172","Variant calling and tumor/normal comparisons for familial kidney cancer","William Linehan","Cathy Vocke","Darryl Nousome","--","Completed","Data Analysis","Whole Genome Sequencing","Jan 18, 2022","No"
"CCBR-1170","CCBR","1170","Mutational landscape of FDC sarcoma","Elaine Jaffe","Annapurna Saksena","Darryl Nousome","--","Completed","Data Analysis","Bulk RNA-seq;Whole Exome Sequencing","Jan 13, 2022","No"
"CCBR-1169","CCBR","1169","Germline chromosome 3 translocation analysis","William Linehan","Christopher Ricketts","Darryl Nousome","--","Completed","Data Analysis","Whole Genome Sequencing","Jan 12, 2022","No"
"CCBR-1160","CCBR","1160","Genomic and transcriptomic characteristics of patient derived tumor biopsies and matched PDX samples","Anish Thomas","Parth Desai","--","Darryl Nousome","Completed","Data Analysis","Bulk RNA-seq","Jan 12, 2022","No"
"CCBR-1168","CCBR","1168","Analysis of IRF6KO TECs","Yousuke Takahama","Yousuke Takahama","Abdalla Abdelmaksoud","--","Completed","Data Analysis","Single-cell Seq (RNA/ATAC/etc Seq)","Jan 11, 2022","No"
"CCBR-1167","CCBR","1167","Epigenetic heterogeneity in HPV-negative head and neck cancer","Vassiliki Saloura","Vassiliki Saloura","Samantha Chill","Vishal Koparde","On Hold","Data Analysis","Other","Jan 11, 2022","No"
"CCBR-1166","CCBR","1166","Effect of Biomaterials on Tumor Spheroids","Matthew Wolf","Michael Buckenmeyer","--","--","Cancelled","Data Analysis","Bulk RNA-seq","Jan 11, 2022","No"
"CCBR-1024","CCBR","1024","ACT + PD1 scRNAseq","Christian Hinrichs","John Davies","Nathan Wong","--","Completed","Data Analysis","Other","Jan 11, 2022","No"
"CCBR-1165","CCBR","1165","Single Cell Sequencing of Signet Ring Cells","Jonathan Hernandez","Sarah Samaranayake","Darryl Nousome","Abdalla Abdelmaksoud","Completed","Data Analysis","Single-cell Seq (RNA/ATAC/etc Seq)","Jan 03, 2022","No"
"CCBR-1164","CCBR","1164","Validating mouse and rat antibodies for use with woodchuck PMBCs","Bradford Wood","Robert Morhard","--","--","Cancelled","Data Analysis","Bulk RNA-seq","Jan 03, 2022","No"
"CCBR-1163","CCBR","1163","small RNA sequecing from NOVAGENE using cancer cells and EVs","David Roberts","Sukhbir Kaur","Alexei Lobanov","Thomas Meyer","Completed","Data Analysis","Other","Dec 27, 2021","No"
"CCBR-1162","CCBR","1162","Smyd3 as an immumonodulator in HPV-negative head and neck cancer","Vassiliki Saloura","Vassiliki Saloura","Alexei Lobanov","Nathan Wong","Primary Analysis Completed","Data Analysis","Single-cell Seq (RNA/ATAC/etc Seq)","Dec 20, 2021","No"
"CCBR-1159","CCBR","1159","Role of ID3 in DNA Damage Response Pathway","Christine Alewine","Neel Panchwagh","Parthav Jailwala","--","Completed","Training","Other","Dec 10, 2021","No"
"CCBR-1158","CCBR","1158","Metabolomic Analyisis of Kidney and Heart in IFN-g mouse","Howard Young","John Fenimore","--","--","Cancelled","Data Analysis","Other","Dec 02, 2021","No"
"CCBR-1157","CCBR","1157","Interrogation of XPO7-SLK biology in cholangiocarcinoma and ovarian carcinoma","Jonathan Hernandez","Tahsin Khan","--","--","Completed","Data Analysis","Bulk RNA-seq","Nov 30, 2021","No"
"CCBR-1156","CCBR","1156","scRNA-seq of compound PFI-90","Javed Khan","Yong yean Kim","Abdalla Abdelmaksoud","--","Completed","Data Analysis","Single-cell Seq (RNA/ATAC/etc Seq)","Nov 24, 2021","No"
"CCBR-1155","CCBR","1155","SMYD3 as an immumonodulator in HPV-negative head and neck cancer","Vassiliki Saloura","Vassiliki Saloura","Samantha Chill","Vishal Koparde","Completed","Data Analysis","Other","Nov 23, 2021","No"
"CCBR-1154","CCBR","1154","thymus reconsitution","Naomi Taylor","Marie Pouzolles","Philip Homan","--","In Progress","Data Analysis","Single-cell Seq (RNA/ATAC/etc Seq)","Nov 22, 2021","No"
"CCBR-1153","CCBR","1153","NCATS Stem Cell WGS","Carlos Tristan","Kelli Wilson","Mayank Tandon","--","Completed","Data Analysis","Whole Genome Sequencing","Nov 22, 2021","No"
"CCBR-1152","CCBR","1152","cMyc distortion","David Levens","Zuqin Nie","Thomas Meyer","Darryl Nousome","Completed","Data Analysis","Bulk RNA-seq","Nov 08, 2021","No"
"CCBR-1151","CCBR","1151","scRNAseq of human NK cells","Stephen Anderson","Stephen Anderson","Daoud Meerzaman","--","Re Assigned","Data Analysis","Single-cell Seq (RNA/ATAC/etc Seq)","Oct 21, 2021","No"
"CCBR-1150","CCBR","1150","HLA typing of cancer cell lines","Christina Annunziata","Soumya Korrapati","Darryl Nousome","--","Completed","Data Analysis","Other","Oct 19, 2021","No"
"CCBR-1149","CCBR","1149","Msgn1 ChIP seq","Terence Yamaguchi","Sara Thomas","Vishal Koparde","--","Completed","Data Analysis","ChIP-Seq","Oct 19, 2021","No"
"CCBR-1148","CCBR","1148","Immune evolution during mammary tumor progression and metastasis","Li Yang","Mary Hollander","Nathan Wong","--","Primary Analysis Completed","Data Analysis","Single-cell Seq (RNA/ATAC/etc Seq)","Oct 18, 2021","No"
"CCBR-1146","CCBR","1146","Regulation of tumor suppressor gene in breast cancer metastasis","Li Yang","Jae young So","Alexei Lobanov","--","Completed","Data Analysis","Single-cell Seq (RNA/ATAC/etc Seq)","Oct 07, 2021","No"
"CCBR-1145","CCBR","1145","CCR7 subpopulations in mature SP thymocytes","Yousuke Takahama","Yousuke Takahama","Abdalla Abdelmaksoud","--","Completed","Data Analysis","Single-cell Seq (RNA/ATAC/etc Seq)","Oct 06, 2021","No"
"CCBR-1144","CCBR","1144","WES Murine Cell Lines - Gameiro","James Hodge","Sofia Gameiro","Darryl Nousome","Thomas Meyer","Completed","Data Analysis","Whole Exome Sequencing","Oct 06, 2021","No"
"CCBR-1143","CCBR","1143","Fever in CAR-T therapy","Naomi Taylor","Taisuke Kondo","Abdalla Abdelmaksoud","--","Primary Analysis Completed","Data Analysis","Bulk RNA-seq;Single-cell Seq (RNA/ATAC/etc Seq)","Sep 15, 2021","No"
"CCBR-1142","CCBR","1142","Young Lab RNAseq","Howard Young","John Fenimore","Thomas Meyer","Abdalla Abdelmaksoud","Completed","Data Analysis","Bulk RNA-seq","Sep 08, 2021","No"
"CCBR-1141","CCBR","1141","Bladder cancer succinylation","Vladimir Valera Romero","Vladimir Valera Romero","Alexei Lobanov","--","Completed","Data Analysis","ChIP-Seq","Aug 30, 2021","No"
"CCBR-1140","CCBR","1140","Alternative Splicing Analysis","Joseph Ziegelbauer","Sarah Dremel","Vishal Koparde","--","Completed","Data Analysis","Bulk RNA-seq;Other","Aug 23, 2021","No"
"CCBR-1139","CCBR","1139","circRNA eCLIP","Joseph Ziegelbauer","Sarah Dremel","Vishal Koparde","--","Completed","Data Analysis","Bulk RNA-seq;Other","Aug 23, 2021","No"
"CCBR-1138","CCBR","1138","Kras in C57 vs FVB","Stuart Yuspa","Christophe Cataisson","Thomas Meyer","Skyler Kuhn","Completed","Data Analysis","Bulk RNA-seq","Aug 16, 2021","No"
"CCBR-1137","CCBR","1137","GCN1 RNASeq analysis","Jonathan Hernandez","Surajit Sinha","Parthav Jailwala","--","Completed","Data Analysis","Bulk RNA-seq","Aug 12, 2021","No"
"CCBR-1136","CCBR","1136","Genomic Characterization of Benign versus Malignant Struma Ovarii Tumor Tissues","Maria Merino-neumann","Shilpa Thakur","Darryl Nousome","--","Completed","Data Analysis","Bulk RNA-seq;Whole Exome Sequencing","Aug 12, 2021","No"
"CCBR-1135","CCBR","1135","Msgn1 scRNA seq  C029058","Terence Yamaguchi","Sara Thomas","Nathan Wong","Vishal Koparde","Completed","Data Analysis","Single-cell Seq (RNA/ATAC/etc Seq)","Jul 29, 2021","No"
"CCBR-1134","CCBR","1134","RNA sequencing of mammary cancer tumors","Shyam Sharan","Ludmila Szabova","Philip Homan","--","Completed","Data Analysis","Bulk RNA-seq","Jul 26, 2021","No"
"CCBR-1133","CCBR","1133","SRSF knockdown and gene expression","Philip Tofilon","Philip Tofilon","Skyler Kuhn","--","Completed","Data Analysis","Other","Jul 21, 2021","No"
"CCBR-1132","CCBR","1132","Glut1 level and CAR T cells","Naomi Taylor","Marie Pouzolles","Philip Homan","--","Completed","Data Analysis","Bulk RNA-seq","Jul 06, 2021","No"
"CCBR-1131","CCBR","1131","Heterogeneity in thymic epithelial cells","Yousuke Takahama","Yousuke Takahama","Margaret Cam","--","Cancelled","Data Analysis","None","Jul 06, 2021","No"
"CCBR-1130","CCBR","1130","TC32SNAI2_H3K27AC ChIP-seq","Natasha Caplen","Vernon Ebegboni","Alexei Lobanov","--","Completed","Training","Bulk RNA-seq;ChIP-Seq","Jul 01, 2021","No"
"CCBR-1129","CCBR","1129","Transcriptional effects of metabolically-targeted osteosarcoma therapy","Peter Choyke","Amy Leblanc","Philip Homan","--","Completed","Data Analysis","Bulk RNA-seq","Jul 01, 2021","No"
"CCBR-1128","CCBR","1128","Comparison of the transcriptome of cell populations across different (and improved) pancreas cancer models","Serguei Kozlov","None","Nathan Wong","--","Primary Analysis Completed","Data Analysis","Single-cell Seq (RNA/ATAC/etc Seq)","Jun 28, 2021","No"
"CCBR-1127","CCBR","1127","Fgf8 Gradient in Mouse PSM","Mark Lewandoski","Matthew Anderson","--","--","Completed","Data Analysis","Single-cell Seq (RNA/ATAC/etc Seq)","Jun 11, 2021","No"
"CCBR-1126","CCBR","1126","Integrative analysis molecular signature in early thyroid cancer in TCGA","Naris Nilubol","Naris Nilubol","Darryl Nousome","--","Completed","Data Analysis","Bulk RNA-seq;Microarray;Whole Exome Sequencing;Whole Genome Sequencing;Data Mining/Management/Integration","Jun 04, 2021","No"
"CCBR-1125","CCBR","1125","Parental and drug resistant prostate tumor cell lines","Claudia Palena","Lucas Horn","Thomas Meyer","Philip Homan","Completed","Data Analysis","Bulk RNA-seq","Jun 02, 2021","No"
"CCBR-1124","CCBR","1124","Human macrophages treated with IO drugs","Claudia Palena","Lucas Horn","Thomas Meyer","--","Completed","Data Analysis","Bulk RNA-seq;Single-cell Seq (RNA/ATAC/etc Seq)","Jun 02, 2021","No"
"CCBR-1123","CCBR","1123","Autologous Monocytes and Interferon-g/a as a Therapy in Ovarian Cancer Patients","Christina Annunziata","Franklin Ning","Thomas Meyer","--","Completed","Experimental Design","Bulk RNA-seq;Single-cell Seq (RNA/ATAC/etc Seq)","May 31, 2021","No"
"CCBR-1122","CCBR","1122","UOK262 m6A Project","Pedro Batista","Christina Fitzsimmons","Vishal Koparde","--","Completed","Data Analysis","Other","May 20, 2021","No"
"CCBR-1121","CCBR","1121","Murine osteosarcoma cell line WGS","Troy Mceachron","Troy Mceachron","Samarth Mathur","Darryl Nousome","Primary Analysis Completed","Data Analysis","Whole Genome Sequencing","May 19, 2021","No"
"CCBR-1120","CCBR","1120","The role of a G-protein coupled receptor Fpr2 in regulation of macrophage and mucosal epithelial cells function","Ji ming Wang","Ji ming Wang","--","--","Cancelled","Data Analysis","Single-cell Seq (RNA/ATAC/etc Seq)","May 18, 2021","No"
"CCBR-1119","CCBR","1119","Cholangiocarcinoma tumorigenesis by the dynamic interaction of immune cells and cancer stem cells","Changqing Xie","Changqing Xie","Jing Bian","--","Completed","Data Analysis","Single-cell Seq (RNA/ATAC/etc Seq)","May 17, 2021","No"
"CCBR-1118","CCBR","1118","Mechanism of gp78 mediated metastasis","Allan Weissman","Yien-che Tsai","--","--","Re Assigned","Data Analysis","Other","May 17, 2021","No"
"CCBR-1117","CCBR","1117","Genes involved in mitochondrial protein quality control","Allan Weissman","Yien-che Tsai","--","--","Re Assigned","Data Analysis","Other","May 17, 2021","No"
"CCBR-1116","CCBR","1116","Gastric Cancer Tumor Microenvironment","Jeremy Davis","Lauren Gamble","Darryl Nousome","--","Completed","Data Analysis","Bulk RNA-seq","May 05, 2021","No"
"CCBR-1115","CCBR","1115","microRNAs profile from urine exosomes in bladder cancer patients","Maria Merino-neumann","Beatriz Walter Rodriguez","Alexei Lobanov","--","Completed","Data Analysis","miRNA-Seq","Apr 23, 2021","No"
"CCBR-1114","CCBR","1114","TerabeLab-CCBR-1","Masaki Terabe","Taijun Hana","Samantha Chill","Skyler Kuhn; Vishal Koparde","Completed","Data Analysis","Whole Exome Sequencing;Other","Apr 22, 2021","No"
"CCBR-1112","CCBR","1112","PP and PC hepatocytes","Natalie Porat-shliom","Sun woo Kang","Alexei Lobanov","--","Completed","Data Analysis","Proteomics;Data Mining/Management/Integration;Other","Apr 15, 2021","No"
"CCBR-1111","CCBR","1111","CT35 lineage variant calling","Kathleen Siebenlist","Brian Capaldo","Richard Finney","George Nelson","Completed","Data Analysis","Single-cell Seq (RNA/ATAC/etc Seq)","Apr 15, 2021","No"
"CCBR-1110","CCBR","1110","Relatedness calculation from WES dataset","Cheryl Winkler","Sungkweon Cho","Darryl Nousome","--","Completed","Data Analysis","Whole Exome Sequencing;Data Mining/Management/Integration","Apr 08, 2021","No"
"CCBR-1109","CCBR","1109","HNRNPK Gene Expression Analysis","Jonathan Hernandez","Surajit Sinha","Vishal Koparde","Samantha Chill","Completed","Data Analysis","Bulk RNA-seq","Apr 01, 2021","No"
"CCBR-1113","CCBR","1113","CRISPR CAR-T cell production","Dennis Michiel","Brian Bowser","Philip Homan","--","Completed","Data Analysis","Other","Mar 16, 2021","No"
"CCBR-1108","CCBR","1108","Role of ILK pathway in treatment response in colorectal cancer","Karl Ried","Sanam Yaghoubi","Philip Homan","--","Completed","Data Analysis","Bulk RNA-seq","Mar 13, 2021","No"
"CCBR-1107","CCBR","1107","Triple combination of BET plus PI3K and NF-κB inhibitors in adult T cell leukemia","Thomas Waldmann","Anusara Daenthanasanmak","Philip Homan","--","Completed","Data Analysis","Bulk RNA-seq;Data Mining/Management/Integration","Mar 11, 2021","No"
"CCBR-1106","CCBR","1106","4SU-Seq Analysis","Joseph Ziegelbauer","Sarah Dremel","Vishal Koparde","--","Cancelled","Data Analysis","Other","Mar 03, 2021","No"
"CCBR-1015","CCBR","1015","CODEX image analysis for liver cancer","Tim Greten","Firouzeh Korangy","Margaret Cam","--","Completed","Data Analysis","Other","Mar 02, 2021","No"
"CCBR-1002","CCBR","1002","scRNA-seq of human cancer cells co-transplanted with mouse cells","Gilbert Smith","Lauren Ragle","Thomas Meyer","--","Completed","Data Analysis","Single-cell Seq (RNA/ATAC/etc Seq)","Mar 02, 2021","No"
"CCBR-1096","CCBR","1096","Role of aneuploidy in Colorectal cancer","Karl Ried","Rachel Lokanga","Philip Homan","--","Completed","Data Analysis","Bulk RNA-seq","Mar 01, 2021","No"
"CCBR-1105","CCBR","1105","RNA seq analysis from Peripheral Blood of Cancer Patinets enrolled on Immunotherapy","Jeffrey Schlom","Renee Donahue","Thomas Meyer","--","Completed","Data Analysis","Bulk RNA-seq;Single-cell Seq (RNA/ATAC/etc Seq)","Feb 25, 2021","No"
"CCBR-1104","CCBR","1104","CMV immunotherapy","John Schiller","Nicolas Cuburu","Margaret Cam","--","Completed","Data Analysis","Other","Feb 05, 2021","No"
"CCBR-1103","CCBR","1103","S100A7A Mock vs Ras","Stuart Yuspa","Brandi Carofino","Philip Homan","--","Completed","Data Analysis","Bulk RNA-seq","Feb 03, 2021","No"
"CCBR-1102","CCBR","1102","E7 TCR T cell therapy in HPV+ vulvar HSIL","Scott Norberg","Scott Norberg","--","--","Cancelled","Data Analysis","None","Feb 02, 2021","No"
"CCBR-1101","CCBR","1101","E7 TCR T cell therapy in HPV+ vulvar HSIL","Scott Norberg","Scott Norberg","Philip Homan","--","Completed","Data Analysis","Whole Exome Sequencing","Feb 02, 2021","No"
"CCBR-1100","CCBR","1100","immune cell infiltration after the combination therapy of oncolytic virus with immune checkpoint inhibitors in colorectal cancer","Tim Greten","Changqing Xie","Philip Homan","--","Completed","Data Analysis","Bulk RNA-seq;Whole Exome Sequencing","Jan 28, 2021","No"
